name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Nai Chaidi,Nai Chaidi,The PropheC,2021-11-26,199017,47,0.0274,0.717,0.617,0.00042,0.0851,-7.06,0.0557,176.038,0.485,4,1,0,spotify:track:5wlH19bXrJY8mE6ZqJBQLU
Toxic,Toxic,AP Dhillon,2020-10-16,184102,70,0.309,0.802,0.737,0.0,0.0815,-4.306,0.0432,116.955,0.577,4,9,1,spotify:track:4faDlXyZMSxEuxBdd5gDIz
The Last Ride,The Last Ride,Sidhu Moose Wala,2022-05-15,262247,78,0.0299,0.792,0.647,0.0,0.119,-5.447,0.334,89.029,0.638,4,10,0,spotify:track:7B4uYqxTpTOS1sgxFB9Ann
295,Moosetape,Sidhu Moose Wala,2021-05-15,270000,79,0.179,0.557,0.794,0.0,0.106,-5.698,0.2,91.366,0.432,4,11,0,spotify:track:5W7DOVGQLTigu09afW7QMT
Hanji Hanji,Hanji Hanji,Navaan Sandhu,2021-09-07,196521,54,0.173,0.888,0.729,0.0,0.16,-4.418,0.219,137.92,0.766,4,1,1,spotify:track:6PR0z03vrtkqGzE1COpbJ0
Faraar,Faraar,Gurinder Gill,2019-11-22,130000,67,0.293,0.899,0.529,3.3e-05,0.0914,-8.686,0.218,89.864,0.271,4,7,0,spotify:track:72H6G8v9xyuwdRBaTkoT5G
Its All About You,Its All About You,Sidhu Moose Wala,2018-02-12,243157,58,0.0964,0.585,0.635,0.0,0.134,-7.219,0.0488,76.089,0.55,4,8,0,spotify:track:0hAMknym1ZPciljhPuX8pl
Tera Saath,Tera Saath,Talwiinder,2021-08-23,214588,54,0.559,0.419,0.472,0.0,0.108,-8.452,0.319,170.265,0.346,4,7,1,spotify:track:5TnlSZbrojgc8wczZGB7uN
Golden Waaliyan,Golden Waaliyan,Tejbir,2022-05-04,141710,2,0.376,0.694,0.417,0.0,0.0654,-7.839,0.13,76.028,0.553,4,8,1,spotify:track:2YkY3O8c8PodYQLAeUu4nC
That's What Love Is,That's What Love Is,Srmn,2021-08-04,262006,42,0.204,0.72,0.575,0.0,0.247,-7.93,0.0451,90.002,0.576,4,5,1,spotify:track:1jgri6RzXQJID0s5y22qp8
Jaqeen,Jaqeen,Talwiinder,2021-07-23,205075,51,0.414,0.64,0.657,0.0,0.121,-4.498,0.0836,149.98,0.239,4,4,0,spotify:track:1nJy3ZevNvqBOZcBaS7Wnc
Holiday,Adhi Tape,Garry Sandhu,2021-11-11,173617,53,0.0494,0.845,0.579,1.46e-05,0.211,-7.802,0.18,94.005,0.814,4,7,0,spotify:track:4DEQBh3b9wEtcjGWfbpngQ
Takeover,Not by Chance,AP Dhillon,2020-12-23,209142,66,0.0711,0.788,0.752,0.0,0.61,-3.823,0.0843,140.032,0.236,4,1,1,spotify:track:5DVnSQ90r2M3gm6XbgTCLp
Bas,Bas,Jaz Dhami,2022-03-18,150141,56,0.0134,0.87,0.477,0.0,0.281,-9.222,0.0722,100.034,0.729,4,1,0,spotify:track:1NfnyCDpRMTso2ow5fcfTL
"Pyar Karda - From ""Lover""","Pyar Karda (From ""Lover"")",Jass Manak,2022-05-26,211224,53,0.542,0.579,0.421,0.0,0.105,-5.943,0.0271,98.046,0.506,4,9,0,spotify:track:3Y5h0lvg9eYqkw8VFtddr8
Impress,8 Chances,Harnoor,2021-12-20,141541,56,0.0456,0.74,0.689,0.0,0.116,-7.175,0.0962,133.113,0.237,4,2,0,spotify:track:1kvnU2nJj0MFzCfvu0guvD
Ykwim,Ykwim,Karan Aujla,2022-01-18,194857,67,0.0361,0.837,0.575,7.23e-06,0.457,-7.971,0.127,105.015,0.655,4,5,0,spotify:track:6qS40yL7kXVoChI8SSCQIQ
Priceless,Priceless,Bhalwaan,2021-11-05,107755,65,0.37,0.665,0.572,0.0,0.282,-9.611,0.262,146.9,0.634,4,5,0,spotify:track:7MdX25DW2YXXwCWl8fSHnq
Hustlin',Hustlin',Gminxr,2020-09-18,165161,62,0.124,0.829,0.472,0.0,0.138,-9.649,0.162,92.99,0.234,4,7,0,spotify:track:79gOr3ck6BoF2v5aOgIMPr
Black Effect,Black Effect,Jordan Sandhu,2022-01-07,175890,62,0.137,0.676,0.739,0.0,0.233,-5.319,0.159,146.056,0.755,4,4,0,spotify:track:2a7zxjZ1I88Z6sYm0ThuSc
Hustling,Back Stage to Front Stage,Vicky,2022-02-01,211764,51,0.315,0.686,0.7,0.0,0.15,-4.439,0.224,84.513,0.517,4,0,0,spotify:track:3FqUyuImbY8vJwi7UQaUBQ
Chosen,Chosen,Sidhu Moose Wala,2019-03-16,264000,61,0.47,0.726,0.809,0.0,0.3,-4.192,0.358,79.969,0.622,4,7,1,spotify:track:4LMQWQqpweFys6elnjBvR6
Diamond,Diamond,Talwiinder,2021-09-23,207046,47,0.691,0.482,0.511,0.000111,0.353,-8.997,0.163,79.779,0.306,4,9,0,spotify:track:3IsmoNezvkoBAqy4jG49t3
Gustakhiyan,Gustakhiyan,The Landers,2022-01-19,152727,67,0.257,0.824,0.589,0.0,0.254,-4.961,0.39,88.027,0.565,4,4,0,spotify:track:3X3BiiDYiPVIn5gEpO9HiF
Mutiyare Ni,Mutiyare Ni,Gippy Grewal,2022-07-12,143195,48,0.466,0.729,0.571,0.00248,0.0776,-7.047,0.034,97.062,0.221,4,6,0,spotify:track:2HggAxPmbLEPlpyo9qov5M
Taaz,Taaz,Navaan Sandhu,2021-10-10,176153,58,0.0096,0.704,0.572,0.0,0.167,-7.307,0.0865,153.948,0.438,4,8,1,spotify:track:0IasFWRYk3UQyVBvGZlBAZ
Shawl,Shawl,Simar Dorraha,2022-01-18,266341,51,0.314,0.487,0.691,0.0,0.0769,-5.748,0.142,163.791,0.522,4,9,0,spotify:track:5OaEqwgJiaXoAhwAZxYa6D
Intro,Waves,Harman Hundal,2022-07-16,53052,36,0.985,0.244,0.317,0.873,0.328,-18.064,0.047,84.731,0.36,1,0,0,spotify:track:4h6dCiCgGdJSf85gvWOZdM
New Beginnings,Waves,Harman Hundal,2022-07-16,126000,46,0.9,0.527,0.463,0.0,0.102,-9.901,0.334,125.672,0.301,5,7,0,spotify:track:6lWsQNjeEfFhK4qpgDeDj4
New Beginnings,Waves,Harman Hundal,2022-07-16,126000,46,0.9,0.527,0.463,0.0,0.102,-9.901,0.334,125.672,0.301,5,7,0,spotify:track:6lWsQNjeEfFhK4qpgDeDj4
Chor,Chor,Ninja,2020-03-09,200167,40,0.794,0.633,0.498,0.0,0.177,-6.059,0.0301,143.968,0.565,4,10,0,spotify:track:3CxgVECKkFffqpTJ9TGN8F
I Need Love,I Need Love,Harman Hundal,2022-03-04,179052,49,0.0948,0.69,0.489,2.48e-05,0.332,-10.886,0.0323,91.987,0.583,4,2,0,spotify:track:5rDbIqVi3MNmQtmUUiv6IH
Bekadra,Bekadra,Khan Saab,2016-01-24,285527,48,0.511,0.379,0.72,0.0,0.203,-4.455,0.179,84.668,0.503,4,9,0,spotify:track:6UplDCpEY2hLUCwoTOLlNp
